name,Entry_point_address,Size_of_program_headers,Size_of_section_headers,Start_of_program_headers,Start_of_section_headers,size_text_section,total_size_file,total_size_memory,n_seg_diff_size_in_file_and_memory,n_p_type_header_as_int_type,total_p_flags,total_STT_NOTYPE_symbol,total_STT_FUNC_symbol,total_STT_OBJECT_symbol,n_sec_not_in_memory,total_global_symbols,total_local_symbols,total_weak_symbols,category
VirusShare_2a5fe70687a93f14e5cb0dd546d89f18,4194708,56,64,64,91032,70408,87700,115820,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1f2d9a6d82fd145d6695bcf7483e7eb6,134512996,32,40,52,52784,39144,47960,74308,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1f13b21ba255e53948faa3b425009dc5,134512996,32,40,52,34176,30694,34108,35644,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2ab6e981518e783f55ab6c7ea02aa12c,4194976,32,40,52,93732,73536,84016,109552,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2bab5b3cbc74730f45c6d090d5cf44db,4194708,56,64,64,67024,48760,64168,91664,1,0,17,5,0,0,0,0,0,0,1
VirusShare_01eb7c5906e7d67b922a9a3f6fc7818e,4194912,32,40,52,71304,63840,69028,69824,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2a77fa2955d34b144aba3893b4b57eb6,2147483972,32,40,52,49784,46618,49716,50420,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2a700f592742c9810961521fd0530d11,4194720,32,40,52,52404,49120,52332,53104,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1f0ba48d7a3e0867c91c19ec3d92d69d,65956,32,40,52,51892,49764,51824,52476,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1e458d012d3a3fabfc64336eb81b4390,4194912,32,40,52,66924,62032,65208,65920,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1ef3e8e03eab3153cc48f530a54f3d0b,33108,32,40,52,58720,56364,58604,100924,1,0,18,3,0,0,0,0,0,0,1
VirusShare_2bcc85de2820243d6ed808ec564b054a,4628,32,40,52,37132,8656,16364,17132,1,0,31,4,0,0,0,87,3,6,1
VirusShare_1e927cc6deb8d7602cb8b090ea06e71f,2147483972,32,40,52,33860,32050,33790,34282,1,0,17,2,0,0,0,0,0,0,1
VirusShare_02b0c3d8cb354d4d59e89111430b8328,4194720,32,40,52,59244,47744,56404,81840,1,0,18,5,0,0,0,0,0,0,1
VirusShare_2a65ec7000306e7e412247b39e5ff252,4194708,56,64,64,146112,107688,143144,170640,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2aeeb2d90d4f5a86ce76ff9e02c32ec3,4194976,32,40,52,132176,101264,118372,143940,1,1,22,6,0,0,0,0,0,0,1
VirusShare_02b22447157b3fd4cbf5c58ea9827044,33108,32,40,52,71784,67244,71668,114308,1,0,18,3,0,0,0,0,0,0,1
VirusShare_01fce06225b1e12e863749723f115eec,4194912,32,40,52,68312,65008,68220,68812,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1f4efc054f807b7a6f574bd67da295ca,4194976,32,40,52,267644,173120,187448,196624,1,1,22,15,0,0,0,0,0,0,1
VirusShare_2a6a2927e438a9dcfd7b1cccba72cc8f,4194912,32,40,52,96104,84048,93284,94368,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2b77ff9fde96eddb812aa89e19129762,134512996,32,40,52,33152,28662,32288,33952,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1ea92e809611f6656595b7518f1d06b7,33172,32,40,52,114952,82628,90676,103532,2,0,26,15,0,0,0,0,0,0,1
VirusShare_1f38cc1295b0e6b5c14fad185407ac48,2147483972,32,40,52,51760,48834,51692,52360,1,0,17,2,0,0,0,0,0,0,1
VirusShare_01f561f323829106cd8bf48dcc63b621,65956,32,40,52,123300,73928,115608,141084,1,0,17,14,0,0,0,0,0,0,1
VirusShare_1ec085e40ed7c3801b4042345f114e35,4194912,32,40,52,50956,46544,50864,51676,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2a94de50251556fef9540ca74cf62f78,4194976,32,40,52,98828,76656,87540,113072,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2a2cbd867c27872f5f94313a1636f02b,134512996,32,40,52,42368,38774,42300,43964,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1e592f406eddecc2db0e7a0a1de66d29,33108,32,40,52,80000,75100,79884,122804,1,0,18,3,0,0,0,0,0,0,1
VirusShare_2a5cd6970d7c96beff8af2395c08950f,4194720,32,40,52,56964,44352,52704,78140,1,0,18,5,0,0,0,0,0,0,1
VirusShare_2aa6a7ab8b74fe33d677d56b5cebcf61,4194720,32,40,52,43644,41280,43576,44364,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1e89173b663f7066e5fefbf70698e1ee,268435952,32,40,52,166936,131688,163776,189244,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2b60fcbbee9570c1452170288ba7876c,4194912,32,40,52,80688,74352,80584,81388,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2aaca856ef62c439a60b0fc07eb995f4,65956,32,40,52,47656,42332,47588,48636,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1ff50d7dfa3137a21c7ad659d0e0cada,4194976,32,40,52,101180,80784,90720,115748,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2ab6f654e09c9f4ba4b8327d05837e64,134512996,32,40,52,37088,29702,35776,37600,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2a427fd411322aa559eda726a9c7218a,134512996,32,40,52,63632,59190,63564,65404,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2bd6cdd2af74ef472a7dd8a6bb5ee942,4194976,32,40,52,111752,89296,100712,126272,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2adffcccc9d366cd210311fed19b8c99,134512996,32,40,52,61352,43512,58432,84772,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2a75341c43a8ece5e0f05236ea5c7195,4194720,32,40,52,74244,57024,71060,96532,1,0,18,5,0,0,0,0,0,0,1
VirusShare_1f115773e81ca7cdde7b887386eb81d0,268435992,32,40,52,77896,65228,74764,103736,2,0,22,5,0,0,0,0,0,0,1
VirusShare_1fed83640d26bba10f639f30f736df63,65956,32,40,52,93484,77856,89188,114664,1,0,17,14,0,0,0,0,0,0,1
VirusShare_01ead1f5a289ff3b9d5a4d634797df86,4194720,32,40,52,59176,47712,56336,81772,1,0,18,5,0,0,0,0,0,0,1
VirusShare_1ebdbe21b35f5bb1291773961dbabdfd,4194912,32,40,52,95588,87728,94128,95592,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2bbe6d63972bdcf9b23e3c4fa472f968,134513000,32,40,52,45260,41105,44332,45952,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1e7dde8a9a420184092312091f7fc7dc,65956,32,40,52,74400,66316,72912,74256,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1fec1560e819009109481f151948a1be,4194976,32,40,52,151132,97920,138760,164324,1,1,22,6,0,0,0,0,0,0,1
VirusShare_002a193886ef54226f73041de941273b,268435952,32,40,52,57156,44348,52232,62196,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1eb50aec1735f441472bf47051b73492,134514221,32,40,52,24680,19993,20643,22271,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2b360a6948645722e89e276d3a0fdb93,33200,32,40,52,98244,76308,90536,116796,1,0,22,11,0,0,0,0,0,0,1
VirusShare_01e3334253a5495d277215e9ede357d5,4194976,32,40,52,235844,112384,224768,250332,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2af1582f1a24580c2839c4b9af9b0814,65956,32,40,52,41420,38252,41148,41912,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2a3321a694468d0e2713ddfaf0ccb5fb,4194912,32,40,52,103936,98480,103640,104680,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1f1eb8be154a7a4e1eb7bb999aa1db08,268435952,32,40,52,62412,55204,62328,63448,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1f4902e7c5083e6ba3506c8ae271ea34,4194720,32,40,52,115980,94112,112792,138664,1,0,18,5,0,0,0,0,0,0,1
VirusShare_1eaf87cd532ac066d0c3b5e828e813dd,134512996,32,40,52,70272,48680,63816,90188,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2bb95df00d79f623743056537b3462f0,65956,32,40,52,210404,94116,205216,230692,1,0,17,14,0,0,0,0,0,0,1
VirusShare_2a17b08a546e4f0d52351a6022128dad,4194976,32,40,52,109556,85600,98584,123572,1,1,22,6,0,0,0,0,0,0,1
VirusShare_1ff256d65c7cc146bf98b1431c745387,4194720,32,40,52,82624,75456,82556,84340,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1fc4f0f6646303e89b24a923a7e7f644,33172,32,40,52,107616,78060,83892,96308,2,0,26,15,0,0,0,0,0,0,1
VirusShare_1e50db38d5761a62c0bbf6aefec3bd31,4201104,32,40,52,74864,57568,79932,96940,1,0,34,2,0,0,0,170,1,3,1
VirusShare_1e7afd87e3a0a5d7af771746fc0c7a0f,2147483972,32,40,52,153268,120560,150140,175600,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1ed7969b791d6a4b74eadaf9a8455cce,4194976,32,40,52,182068,150672,168340,194356,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2b94a83bea975029b0a2c4b47964a37e,134512996,32,40,52,49452,46998,49384,50940,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2aa46ea60e02650134d8baa3a65634f7,4194976,32,40,52,106020,82928,93440,118976,1,1,22,6,0,0,0,0,0,0,1
VirusShare_1e9dc1afd0903e84663a4201f563ec74,4856,56,64,64,78504,61796,71628,74276,1,0,39,3,0,0,0,0,1,0,1
VirusShare_1fecffee5b30f119c85f53381e3b64bc,268435952,32,40,52,57984,53640,56932,57808,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2a31c58d922ee573dacc158bbb3cfbaa,134512996,32,40,52,99468,57144,92936,119308,1,0,17,5,0,0,0,0,0,0,1
VirusShare_02a42f6189a6b1923883aac908017ccd,134512996,32,40,52,53632,48038,53248,54912,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1ecb4c66b4d48e56863b33ce739d2848,4198528,32,40,52,23784,16480,26486,27622,1,1,38,6,0,0,0,99,1,3,1
VirusShare_1f788b68ed57d25eeb793087c3c29118,268435952,32,40,52,43296,38136,43216,44256,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1e05433c1459a5fe8d5cf7c17c6a7304,33108,32,40,52,66208,63052,65352,107672,1,0,18,3,0,0,0,0,0,0,1
VirusShare_01fe596ecf9dd9b696cc847be3214a32,134512996,32,40,52,94208,49912,91072,117412,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1fcea8e0fc07fd788edc6693c65fb51a,4194720,32,40,52,54040,48608,53964,54980,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2a5c1793ae847033d8232ce3440628dd,268435952,32,40,52,57984,52192,56876,57672,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2bc993e44614251a08e1fc48009b154e,4194708,56,64,64,72928,56472,69960,97488,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2a200e0c70706515511a26c1cf93cc61,2147483972,32,40,52,114992,76752,111792,137248,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1f89adaee9e3bb651fb1e836e660a574,2147483972,32,40,52,49368,47478,49300,49872,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1f69efede9600ff3af8115a2f97b25f4,2147483972,32,40,52,82088,67356,79124,104564,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2aed38af918004b2a3c65f50f7afcf80,4194720,32,40,52,148464,114080,145332,170796,1,0,18,5,0,0,0,0,0,0,1
VirusShare_1e42b9bee1005b1a04f1d1ba5e97dbcd,2147483972,32,40,52,71644,66094,71576,72716,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1f4c92d419d34b0d0e6c0b690d82115a,4194720,32,40,52,65968,60832,65432,66672,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1f2a68c4273bee86f2ced605b4036e7e,4194976,32,40,52,139788,111392,128612,154172,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2b0fd664ed2f96d0aaa606df4a2f5bb4,4194720,32,40,52,39956,34816,39888,40928,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2b677d56c444b3638f0c1a9833be817c,2147483972,32,40,52,70436,62094,70368,81728,1,0,17,2,0,0,0,0,0,0,1
VirusShare_02a73b5ba49eb6460e0b67bb06faeac1,4194976,32,40,52,148788,98080,135788,161348,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2bbdaec527aac305aa06a65f38c403e9,2147483972,32,40,52,119960,84332,116868,142480,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1fb2a54fe190771072bf0e44dc31139f,65956,32,40,52,188192,146804,180032,205516,1,0,17,14,0,0,0,0,0,0,1
VirusShare_1fcf2e50294fe7d5220ad4ef82c49765,4194976,32,40,52,85416,66720,76036,101580,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2a1a5f6900f50f69207160f8be85191d,4194976,32,40,52,103324,78432,93020,118556,1,1,22,6,0,0,0,0,0,0,1
VirusShare_01f3814a769c6a31befe6eabfe6ec800,268435952,32,40,52,69512,56712,65688,91124,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1e85eb0fafa53968c4723931ec7a65ff,2147483972,32,40,52,55364,53358,55296,55868,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1f6f56260187a6a5fefc4cf78cb9c243,4194720,32,40,52,61132,48352,57144,82584,1,0,18,5,0,0,0,0,0,0,1
VirusShare_1e6e104cc3ee5f23bf47a1e3790df313,38824,32,40,52,815196,568380,705940,751056,2,0,29,14,0,0,0,0,0,0,1
VirusShare_2b8dd607bdd5d49a3cd61bcde65dd377,33232,32,40,52,112296,76876,85812,114792,2,0,26,15,0,0,0,0,0,0,1
VirusShare_2b1365829eaf398dd902c519020cb4fc,65956,32,40,52,120292,94224,115760,141236,1,0,17,14,0,0,0,0,0,0,1
VirusShare_2a9549b8b103fbe1d2d2aad225b51824,134513000,32,40,52,82540,64340,79008,105732,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2bc0331ff3036b57c96d212284ed54e9,268435952,32,40,52,63708,59008,63628,64868,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1e68aec30ee18e18f87ed6cede35707e,134512996,32,40,52,82276,61784,76712,103052,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2bf31da8e7ad4140bdee92c790744a2a,134512996,32,40,52,97472,51080,93096,119436,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1f002f721c26cea670bc59b2a3e135b2,4194912,32,40,52,71524,66224,71420,72252,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1e50359f77c36ebfffbb74cedb387322,4194720,32,40,52,82652,75424,82584,84424,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1fa78715f38aae688258589a72e2c68f,33232,32,40,52,110248,75692,83764,112744,2,0,26,15,0,0,0,0,0,0,1
VirusShare_1e387fc715eb44e3cebadb5f87d452fa,2147483972,32,40,52,52676,49774,52608,53228,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1ef6a649d90b96c570da578056b06ce2,4194720,32,40,52,55780,50016,55712,56956,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2a1ec9da8c2c827870337c93a1244b23,4195024,32,40,52,111732,88592,100128,129224,2,1,26,6,0,0,0,0,0,0,1
VirusShare_01e70bd342dfd906a8c87a4699491bed,268435952,32,40,52,50852,48700,50772,51412,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1e0451caea33f6107986fc64b161d2cf,268435952,32,40,52,70708,58632,67692,93144,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2bcaa9f28d8a272c091fff2155639ea3,134512996,32,40,52,146248,99096,141400,182240,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1f1faa4bc49264675b1935ca371e54ba,268435952,32,40,52,61892,57012,61512,62552,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2b4834648f288803e9d9a36ca82fb89a,4194976,32,40,52,139772,111392,128596,154156,1,1,22,6,0,0,0,0,0,0,1
VirusShare_01ed4b77abb64024f4b541fc2ea8cb3b,33172,32,40,52,88960,61332,65332,77864,2,0,26,15,0,0,0,0,0,0,1
VirusShare_1e3298a59738cf8ef475ed48ff546de6,4194976,32,40,52,93732,73600,84080,109616,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2aeb2e80dc43fe9c8cbfbbfd84a447cd,4194912,32,40,52,60176,55632,60072,60956,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2b09b2628e06d181f5a661c934ea97d4,134512996,32,40,52,74112,66598,72256,74496,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2abb22af8475bb88ed6553f5ae567010,4194720,32,40,52,64884,53728,61944,86880,1,0,18,5,0,0,0,0,0,0,1
VirusShare_2aa358927342d4cca1038a12546bae73,4194708,56,64,64,75440,55128,72488,100048,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1f3a37a7be8ad089dc85f5891f59341b,33172,32,40,52,84824,58008,61388,73900,2,0,26,15,0,0,0,0,0,0,1
VirusShare_1e3911b09e29fe3a58d1c14d6444e138,65956,32,40,52,132044,108532,127604,153400,1,0,17,14,0,0,0,0,0,0,1
VirusShare_2b93b9b57f5e202a24e267a6230609d8,268435952,32,40,52,82324,68124,79200,104660,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1f75f93765b71e651f53b399c228923f,4194976,32,40,52,217604,170336,204536,230100,1,1,22,6,0,0,0,0,0,0,1
VirusShare_1f6b96d389d5a606b13011b10127d9e2,268435952,32,40,52,172040,124384,164816,201988,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2aabcb8c2f326170d26a138e1d4bae51,33172,32,40,52,114392,84728,90052,102768,2,0,26,15,0,0,0,0,0,0,1
VirusShare_2ba9f4862f09e8b54b2e9d27013932cc,33172,32,40,52,107128,77452,83580,96000,2,0,26,15,0,0,0,0,0,0,1
VirusShare_2bbc694d3ca42d20aa51a4245e86f105,4194976,32,40,52,116264,86848,103512,129076,1,1,22,6,0,0,0,0,0,0,1
VirusShare_1fc550900f60c03620048c673c1ad9c4,33172,32,40,52,100872,75016,77972,90280,2,0,26,15,0,0,0,0,0,0,1
VirusShare_2a94cbc343407d0f84c1206425669708,33200,32,40,52,86772,71604,80220,106440,1,0,22,11,0,0,0,0,0,0,1
VirusShare_1eac2d68f7bbd4cc7eb2fed1eb7e1045,33232,32,40,52,144352,98832,117596,146832,2,0,26,15,0,0,0,0,0,0,1
VirusShare_2ba8dc8ffdd207e4547738b49222581d,33200,32,40,52,98244,76308,90288,116548,1,0,22,11,0,0,0,0,0,0,1
VirusShare_2a4c5f1d9c93436834377874f005222d,4195024,32,40,52,115952,93616,104156,133240,2,1,26,6,0,0,0,0,0,0,1
VirusShare_2b08964ed7130ca3b1566cb5161769e2,475640,32,40,52,276,2088920,3724043,3809555,1,1,10781,4,0,0,0,0,0,0,1
VirusShare_2b03a6f55ede394238f82644fe10319d,2147483972,32,40,52,76112,64672,73272,98708,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2a4ee0387c5c8a29ff42e764c029a809,4194708,56,64,64,101152,73592,98184,125712,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2a453279b0f0cee20659ba3db29f80de,268435952,32,40,52,66168,58464,65368,66728,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1e98ee620da704f198790e0bc7753bdc,33108,32,40,52,59200,56828,59084,101404,1,0,18,3,0,0,0,0,0,0,1
VirusShare_2b2f1cb1bf0f73859e04a77435dd2d09,268435952,32,40,52,50852,48700,50772,51412,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1fe4dac2e3e78ef288eb417326059289,134513000,32,40,52,1122144,51332,1118728,1145068,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1f32e11d7f03efd8fa6b7c380a61844f,268435952,32,40,52,56344,52928,56264,57036,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1f4d36dfd6717517cf679e4b3da92793,33172,32,40,52,128304,95592,104556,117244,2,0,26,15,0,0,0,0,0,0,1
VirusShare_2a4de6e0f9bb4e802560b1aa683530a1,33200,32,40,52,98268,79124,91524,117764,1,0,22,11,0,0,0,0,0,0,1
VirusShare_1e84334f7ed257934306cfa380d1e47e,4194976,32,40,52,136988,103136,121972,147524,1,1,22,6,0,0,0,0,0,0,1
VirusShare_1f7beee46c5a23551cd252db17b41249,268435952,32,40,52,92152,74056,89192,114652,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1e1490def659ef4ea6bbd1996685a980,4194912,32,40,52,79244,72832,77528,78440,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2b3374a2b5dbf7db684260e381896f03,4194708,56,64,64,101152,73592,98184,125712,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1ea661f7447d4060f2eaa6bd7622ffff,4194976,32,40,52,217604,170336,204568,230132,1,1,22,6,0,0,0,0,0,0,1
VirusShare_1ebaa4c3d88fbac67945839f46d5596f,33108,32,40,52,46208,42416,46092,88584,1,0,18,3,0,0,0,0,0,0,1
VirusShare_1e6eb74e62d112e3b0faa57b282561a6,4194720,32,40,52,65968,60832,65380,66620,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1e51a4a55e464b1565c0893f9607b592,65956,32,40,52,103900,86812,99800,125284,1,0,17,14,0,0,0,0,0,0,1
VirusShare_1f7cf7a06080ea927fc0cf5558a696f6,268435952,32,40,52,58508,46412,58076,84600,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1e62c69d7e5489ccc9ee2f1809973782,2147483972,32,40,52,63644,59474,63576,64448,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1ef7be3f17a07c7a72dbfe166b5e12c3,33108,32,40,52,66208,63052,65352,107672,1,0,18,3,0,0,0,0,0,0,1
VirusShare_1ef571705a2244697691a99167dde4d9,134512996,32,40,52,34608,31542,34540,36316,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1f777cc81b5e5f029407b750e1a5bc19,4194976,32,40,52,85528,66832,76148,101692,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2aa3b31b4858e3e4bb1d1470967fe603,4194720,32,40,52,50936,48800,50868,51508,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1e785bb12185b373f162cb16f0ad1f4f,65956,32,40,52,188192,146804,179760,205244,1,0,17,14,0,0,0,0,0,0,1
VirusShare_02a70726f7f5cc1a4116309070e3d911,4194976,32,40,52,159472,124784,148288,173852,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2a674288fdbe10731cc6d3d2fcd77e31,2147483972,32,40,52,52400,50450,52330,52902,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2b94b4cd9465826c76f87a5379799533,33200,32,40,52,98244,76308,90288,116548,1,0,22,11,0,0,0,0,0,0,1
VirusShare_1e131ed36782df1a0c4580c85ac89c2b,4194912,32,40,52,91580,83472,89316,90632,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1fc3d6875f9d5c3a5574977b9a6dcb96,268435952,32,40,52,110924,85112,105964,131424,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2ba839ecb5c15025e488c5dd11cbae4c,4194708,56,64,64,146112,107688,143144,170640,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2bb8a1930ae1b66b63f59b5ac0664c96,134513000,32,40,52,70048,50404,64968,91340,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2b5be92facd12626d301ae95d546ac68,4194912,32,40,52,71008,64400,70184,70984,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2b82ac66433527b523696f3d444ce07e,4194720,32,40,52,82396,64352,79460,104920,1,0,18,5,0,0,0,0,0,0,1
VirusShare_2a532ac01fb5dd356cbefc2886eee9ca,134512996,32,40,52,115124,87864,110912,138124,1,0,17,5,0,0,0,0,0,0,1
